City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,nema,57.5067,50.5011,268.39,94,100,1.2,RU,1739127468
114,pisco,-13.7,-76.2167,299.18,78,20,3.09,PE,1739127469
115,banda aceh,5.5577,95.3222,298.77,73,94,4.38,ID,1739127470
116,luderitz,-26.6481,15.1594,293.67,58,0,11.72,NA,1739127471
117,susuman,62.7833,148.1667,228.72,99,81,0.2,RU,1739127472
118,jamestown,42.097,-79.2353,270.38,91,100,7.2,US,1739127254
119,nelson bay,-32.7167,152.15,296.53,88,100,1.79,AU,1739127474
120,sergeyevka,53.88,67.4158,259.87,98,71,2.48,KZ,1739127476
121,georgetown,5.4112,100.3354,301.11,78,20,2.24,MY,1739127477
122,chonchi,-42.6128,-73.8092,296.58,49,85,1.41,CL,1739127478
123,argo,37.6333,22.7333,277.37,70,11,1.84,GR,1739127479
124,fairmont,39.4851,-80.1426,274.48,72,100,0.89,US,1739127407
125,kimbe,-5.5502,150.1429,297.82,91,100,0.71,PG,1739127481
126,vadso,70.0744,29.7487,271.24,74,0,7.2,NO,1739127482
127,al mijlad,11.0333,27.7333,299.13,13,48,5.0,SD,1739127483
128,college,64.8569,-147.8028,248.75,77,0,1.54,US,1739127485
129,vorgashor,67.5833,63.95,268.57,94,100,8.03,RU,1739127486
130,kachug,53.9606,105.8817,255.96,98,100,0.92,RU,1739127487
131,serenje,-13.2325,30.2352,290.4,92,83,0.52,ZM,1739127488
132,mokhsogollokh,61.4681,128.9203,232.07,100,98,0.66,RU,1739127489
133,port lincoln,-34.7333,135.8667,292.46,80,38,8.06,AU,1739127490
134,kununurra,-15.7667,128.7333,298.14,100,100,2.57,AU,1739127492
135,pyhaselka,62.4333,29.9667,268.29,89,100,2.42,FI,1739127493
136,kodiak,57.79,-152.4072,276.88,93,100,12.35,US,1739127494
137,yellowknife,62.456,-114.3525,244.49,79,20,4.12,CA,1739127495
138,macomb,40.4592,-90.6718,270.12,63,0,3.13,US,1739127288
139,labrador city,52.9463,-66.9114,252.1,59,75,3.6,CA,1739127497
140,mejit,10.2753,170.8646,299.83,84,11,7.63,MH,1739127498
141,st. john's,47.5649,-52.7093,271.64,71,100,4.63,CA,1739127440
142,arraial do cabo,-22.9661,-42.0278,304.13,74,20,7.2,BR,1739127501
143,kendallville,41.4414,-85.265,270.93,74,100,3.6,US,1739127396
144,umm ruwaba,12.9061,31.2158,296.76,15,100,4.67,SD,1739127503
145,mbanza kongo,-6.267,14.2401,295.73,94,100,0.45,AO,1739127504
146,vernon,50.2581,-119.2691,264.22,71,65,1.03,CA,1739127505
147,avarua,-21.2078,-159.775,299.18,94,75,2.06,CK,1739127506
148,talnakh,69.4865,88.3972,254.79,99,98,2.34,RU,1739127507
149,selfoss,63.9331,-20.9971,279.29,94,100,8.76,IS,1739127509
150,raahe,64.6833,24.4833,269.79,91,6,7.67,FI,1739127510
151,vilyuchinsk,52.9306,158.4028,268.3,75,36,4.24,RU,1739127512
152,tandil,-37.3217,-59.1332,307.11,8,37,4.24,AR,1739127515
153,viqueque,-8.8673,126.3658,298.93,85,100,3.42,TL,1739127516
154,cuyamel,15.6667,-88.2,299.37,82,100,2.64,HN,1739127517
155,baotou,40.6522,109.8222,264.14,33,0,1.0,CN,1739127518
156,atafu village,-8.5421,-172.5159,301.65,73,31,6.3,TK,1739127519
157,petropavlovsk-kamchatsky,53.0452,158.6483,267.48,58,40,2.0,RU,1739127520
158,faya-largeau,17.9257,19.1043,297.69,15,0,5.35,TD,1739127521
159,parambu,-6.2111,-40.6944,302.12,52,100,1.45,BR,1739127522
160,kapuskasing,49.4169,-82.4331,262.15,44,75,1.54,CA,1739127242
161,erenhot,43.6475,111.9767,257.75,83,4,2.28,CN,1739127525
162,ust-nera,64.5667,143.2,231.11,99,75,1.14,RU,1739127527
163,uige,-7.6087,15.0613,294.26,93,100,0.39,AO,1739127528
164,laibin,23.7,109.2667,284.52,33,86,1.37,CN,1739127529
165,rongelap,11.1635,166.8941,299.44,76,10,7.3,MH,1739127530
166,laguna,38.421,-121.4238,282.65,58,0,3.09,US,1739127531
167,kavaratti,10.5669,72.642,300.11,72,53,3.24,IN,1739127533
168,grand falls-windsor,48.9332,-55.6649,266.76,63,100,0.45,CA,1739127534
169,andovoranto,-18.95,49.1,299.43,84,17,0.62,MG,1739127535
170,gweru,-19.45,29.8167,289.75,97,98,1.95,ZW,1739127536
171,pontevedra,42.431,-8.6444,287.67,95,100,1.45,ES,1739127493
172,dudinka,69.4058,86.1778,254.3,100,100,1.89,RU,1739127538
173,okahandja,-21.9833,16.9167,298.33,52,58,2.79,NA,1739127539
174,portales,34.1862,-103.3344,279.32,38,1,2.69,US,1739127540
175,paphos,34.7667,32.4167,283.03,76,75,2.57,CY,1739127542
176,lupane,-18.9315,27.807,294.18,68,100,1.39,ZW,1739127543
177,palmer,42.1584,-72.3287,273.99,65,100,1.79,US,1739127544
178,bluewater,34.1745,-114.2713,291.08,15,100,2.74,US,1739127545
179,katsuura,35.1333,140.3,277.75,44,94,5.09,JP,1739127546
